VE,ExE,APS
Krt18,Lgals2,Gsc
Cldn6,Car7,Upp1
Tceal9,Apoa2,Tdgf1
Car4,Aldob,Lhx1
Spint2,Rbp4,Hhex
Krt8,Pdzk1,Fgf5
Spink1,Apom,Grrp1
Npc2,Slc2a2,
Emb,Fxyd2,
Gpc3,2210011C24Rik,
Selenop,Apoa4,
Krt19,Smlr1,
Slc16a1,Cubn,
Myl6,Tdh,
Spr,Apoa1,
Laptm4b,Creb3l3,
Stard3nl,4933402E13Rik,
Rdx,Tmem37,
Tecr,Apoc3,
,Npl,
,Cyba,
,Ttr,
,Adora2b,
,Aqp3,
,Sigirr,
,Tm4sf5,
,Aqp11,
,Slc7a8,
,Slc13a4,
,Dgat2,
,Tmem150a,
,Fabp1,
,Amn,
,Gipc2,
,Mttp,
,Depdc7,
,Fgb,
,Spp2,
,Slc7a9,
,Gcat,
,Slc39a5,
,Hsd17b2,
,Ctsh,
,Mt1,
,Thnsl2,
,Apob,
,Apoc2,
,H19,
,Cldn2,
,Apoe,
,2610528J11Rik,
,Slc9a3r1,
,Galm,
,Nrk,
,0610005C13Rik,
,Mbl2,
,Ninj1,
,2810459M11Rik,
,Pqlc2,
,Fabp2,
,Folr1,
,Bex4,
,Ftl1,
,Card19,
,Slc23a1,
,Hpn,
,Fcgrt,
,Gjb1,
,Fga,
,Ddt,
,Rab17,
,S100a1,
,Gldc,
,Sgk3,
,Slc43a2,
,Pla2g12b,
,Tomm20,
,Qdpr,
,Aass,
,Atp6v0b,
,Cgref1,
,Aldh7a1,
,Slc35f6,
,Cited1,
,Prodh2,
,Ctsz,
,Rnf181,
,Sec14l2,
,Neu1,
,Ctsb,
,Mfsd12,
,Gnpda1,
,Aprt,
,Pde6c,
,Bco1,
,Erich4,
,Soat2,
,Hnf4a,
,Dbi,
,Gltpd2,
,Klhl2,
,Igsf23,
,Mras,
,Serpinc1,
,Acox1,
,Serpinf2,
,Dab2,
,S100a16,
,Abca3,
,Lxn,
,Gcsh,
,Reep6,
,Abcc2,
,Pcyt2,
,Hsd17b11,
,Lrrc19,
,Tmem106a,
,Dpp7,
,Rnf130,
,Gng12,
,Glul,
,Fcgr3,
,Ass1,
,Nudt10,
,Bend7,
,Uqcrq,
,Pcbd1,
,Lgmn,
,Ihh,
,Plscr2,
,Manba,
,Tspan13,
,Susd3,
,Bri3,
,Ctsl,
,Mt2,
,Mcoln2,
,Mfsd1,
,As3mt,
,Txndc17,
,mt-Nd1,
,Snx3,
,Aadac,
,Pigyl,
,Tcn2,
,Atp6v1g1,
,Klc4,
,Fem1b,
,Tlcd1,
,Eps8,
,Tmem120a,
,Pxdc1,
,Tgm1,
,Timd2,
,Tulp2,
,Cdhr2,
,Cul7,
,Haus7,
,Grtp1,
,Abcc5,
,Atp6v1e1,
,Acot4,
,Bex2,
,Asl,
,Cmtm4,
,Icam1,
,Ap1b1,
,Eea1,
,Clic5,
,Psph,
,Sord,
,Lactb,
,Rnf224,
,Slc16a13,
,Scly,
,Renbp,
,Tom1,
,AI413582,
,Cib1,
,Sephs2,
,Bst1,
,Syne4,
,Atp6v1a,
,Tpcn1,
,Mpc2,
,Edf1,
,Glyctk,
,Rab5c,
,Foxo4,
,Apoc1,
,Rab20,
,Myo6,
,Gpx3,
,Card14,
,Uap1l1,
,Agpat3,
,Acy1,
,Gstt3,
,Slc25a15,
,Slc3a2,
